model_source,model_name,model_weights,pearson_avg,pearson_median,spearman_avg,spearman_median,acc_avg
huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,0.7255061810210788,0.7009382513658035,0.42002442002442003,0.46123321123321115,0.669625
huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,0.7648395339449016,0.7698210948475115,0.4026251526251526,0.37484737484737485,0.712
clip,ViT-B/32,DEFAULT,0.8846101711347781,0.8812041609139774,0.631054131054131,0.6437728937728937,0.57925
clip,ViT-B/16,DEFAULT,0.9216685405425883,0.9162220668108023,0.6234228734228734,0.6715506715506715,0.61325
clip,ViT-L/14,DEFAULT,0.936830236585316,0.9387124013199524,0.6680911680911681,0.7081807081807081,0.6725
open_clip,ViT-B-32-256,DEFAULT,0.8980395374641628,0.8916028725503209,0.6783679283679284,0.6813186813186813,0.666875
open_clip,ViT-B-16,DEFAULT,0.8970493430556098,0.8910694342849759,0.7205942205942205,0.6941391941391941,0.645125
open_clip,ViT-L-14,DEFAULT,0.8701217280942117,0.8727133353922145,0.68996743996744,0.702075702075702,0.6976249999999999
torchvision,resnet18,IMAGENET1K_V1,0.8040228467406169,0.8113093145507668,0.6124338624338624,0.6486568986568986,0.492375
torchvision,resnet50,IMAGENET1K_V1,0.7435851664183842,0.7790248467518819,0.6025641025641025,0.6413308913308913,0.50925
torchvision,resnet152,IMAGENET1K_V1,0.7380090005720573,0.7908489863855535,0.5823158323158323,0.6321733821733821,0.534125
torchvision,regnet_y_16gf,IMAGENET1K_V1,0.6375404675872848,0.7268346606319834,0.5030525030525029,0.5555555555555556,0.531875
torchvision,regnet_y_16gf,IMAGENET1K_V2,0.613411194854322,0.708167154941896,0.4503459503459504,0.5146520146520146,0.52425
torchvision,regnet_y_16gf,IMAGENET1K_SWAG_E2E_V1,0.5126065549508542,0.5997019083990023,0.3457468457468458,0.3766788766788767,0.642625
torchvision,regnet_y_32gf,IMAGENET1K_V2,0.6316987077735103,0.7295606454585766,0.4286731786731786,0.49023199023199027,0.518125
torchvision,vit_b_16,IMAGENET1K_V1,0.6994498470072331,0.7317261609307728,0.4367114367114367,0.46733821733821723,0.57675
torchvision,vit_b_16,IMAGENET1K_SWAG_E2E_V1,0.6211030490900257,0.6681524149093546,0.36294261294261293,0.34920634920634913,0.6154999999999999
torchvision,vit_l_16,IMAGENET1K_V1,0.6932466850360313,0.7408713261169573,0.534086284086284,0.5570818070818071,0.5682499999999999
torchvision,vit_h_14,IMAGENET1K_SWAG_E2E_V1,0.5451294735883647,0.5676463620076551,0.2909035409035409,0.24542124542124544,0.68975
torchvision,maxvit_t,IMAGENET1K_V1,0.7080462753685959,0.7495981586058285,0.6121286121286121,0.6016483516483516,0.555875
torchvision,convnext_tiny,IMAGENET1K_V1,0.6581610507119077,0.6266254181108171,0.6001221001221001,0.6431623931623931,0.5602499999999999
torchvision,convnext_base,IMAGENET1K_V1,0.718475305947702,0.7349827405913669,0.6327838827838828,0.6498778998778999,0.5745
torchvision,swin_t,IMAGENET1K_V1,0.7135518537492352,0.7542470658852352,0.4333536833536833,0.5134310134310134,0.5553750000000001
torchvision,swin_v2_t,IMAGENET1K_V1,0.7033254944197352,0.718856885272033,0.40628815628815634,0.4792429792429792,0.553875
torchvision,efficientnet_b0,IMAGENET1K_V1,0.6950111778226801,0.750128734272357,0.5943223443223442,0.647130647130647,0.5529999999999999
torchvision,efficientnet_b4,IMAGENET1K_V1,0.5720061878462691,0.5209170453903447,0.4995929995929996,0.41880341880341876,0.562
torchvision,efficientnet_b7,IMAGENET1K_V1,0.46073941834641835,0.47785426684437105,0.25875050875050876,0.3806471306471306,0.582125
